"Brand","Model","Year","Engine_Size","Fuel_Type","Transmission","Mileage","Doors","Owner_Count","Price","Region","car_age","mileage_per_year","high_mileage_indicator","age_mileage_interaction","mileage_per_engine_size","owner_impact_score","luxury_brand_indicator","engine_size_per_door","transmission_fuel_combo","fuel_type_efficiency_score","brand_mean_price_ratio","model_popularity_score","doors_category","rare_model_indicator","log_price","log_mileage","age_x_mileage","brand_x_region","owner_stability_score","transmission_popularity","fuel_efficiency_per_mile","estimated_original_price","depreciation_rate","region_price_deviation","mileage_variance","Fuel_Type_encoded","Transmission_encoded","Region_encoded","doors_category_encoded","transmission_fuel_combo_encoded","brand_x_region_encoded","cpi_year","inflation_adjustment","price_inflation_adjusted","original_price_inflation_adjusted","outlier_flag"
"Volkswagen","Golf",2009,4.5,"Hybrid","Manual",42795,4,3,11444,"South America",15,2853,0,641925,9510,0.6,0,1.125,"Manual-Hybrid",9045.843182,1.28494246369072,320,"Sedan",0,9.34522085417,10.6641765523157,684720,"Volkswagen-South America",0.25,0.33841980332316,3.38075473387681,36546.9107180358,1568.93191987724,1.29252315323102,0.178312499988112,2,1,5,2,6,59,217.347,1.47126484377516,7778.34123367993,53770.1848880357,0
"Honda","CR-V",2007,4.8,"Hybrid","Automatic",132875,3,4,10842,"North America",17,7816.17647058824,0,2258875,27682.2916666667,0.8,0,1.6,"Automatic-Hybrid",9045.843182,1.24841131868137,298,"SUV/Family",0,9.29118275982028,11.7971641156442,2391750,"Honda-North America",0.2,0.329151124675031,1.22523516871468,40032.8333780644,1621.71296544802,1.22453128515648,0.492129629596821,2,0,3,1,2,27,211.445,1.51233181205514,7169.06165272457,60542.9274443498,0
"Hyundai","Elantra",2004,2.3,"Hybrid","Semi-Automatic",188996,2,1,4820,"Oceania",20,9449.8,0,3779920,82172.1739130435,0.2,0,1.15,"Semi-Automatic-Hybrid",9045.843182,0.552388163547775,330,"Sports",0,8.48052920704465,12.1494811297967,3968916,"Hyundai-Oceania",0.5,0.332429072001808,1.00500328976759,22126.1126212136,824.100601010173,0.544386717806146,0.599987301547302,2,2,4,3,10,34,191.7,1.66810119979134,2889.51293878508,36908.5950101648,0
"Volkswagen","Golf",2003,2.4,"Petrol","Automatic",145921,5,2,5981,"Africa",21,6948.61904761905,0,3064341,60800.4166666667,0.4,0,0.48,"Automatic-Petrol",8165.243868,0.67155198141683,320,"SUV/Family",0,8.69634305704456,11.8908206583549,3210262,"Volkswagen-Africa",0.333333333333333,0.329151124675031,1.23085975412319,29522.2146940345,1070.0552133652,0.675513891949908,0.442184848455369,3,0,0,1,3,54,185.5,1.72385444743935,3469.55046517082,50892.0010985707,0
"Volkswagen","Golf",2007,3.2,"Diesel","Automatic",60103,2,1,9697,"Asia",17,3535.47058823529,0,1021751,18782.1875,0.2,0,1.6,"Automatic-Diesel",8192.595142,1.08878775519127,320,"Sports",0,9.17957183830455,11.0038150360828,1081854,"Volkswagen-Asia",0.5,0.329151124675031,2.45283199807056,35805.0530591303,1450.4473921739,1.09521120385191,0.222603703688863,0,0,1,3,0,55,211.445,1.51233181205514,6411.95266984599,54149.1207736451,0
"Hyundai","Elantra",2017,2.9,"Electric","Automatic",38133,5,2,14837,"South America",7,5447.57142857143,0,266931,13149.3103448276,0.4,0,0.58,"Automatic-Electric",9818.188368,1.70036995488762,330,"SUV/Family",0,9.60487933995079,10.5488353279628,305064,"Hyundai-South America",0.333333333333333,0.329151124675031,2.05934576817598,26514.4430067898,1459.68037584873,1.67573977844186,0.317774999978815,1,0,5,1,1,35,247.805,1.2904299751821,11497.7180361191,34215.0320312189,0
"Volkswagen","Tiguan",2006,4.5,"Electric","Manual",41161,2,2,11576,"Oceania",18,2286.72222222222,0,740898,9146.88888888889,0.4,0,2.25,"Manual-Electric",9818.188368,1.2997635406924,338,"Sports",0,9.35668926831132,10.6252464850853,782059,"Volkswagen-Oceania",0.333333333333333,0.33841980332316,4.53000434657601,45960.2619824214,1809.69799907481,1.30743166915434,0.14442456139388,1,1,4,3,5,58,203.1,1.57447070408666,7352.3120944414,72363.0860434702,0
"Kia","Rio",2000,3.4,"Diesel","Semi-Automatic",257427,3,3,2351,"Oceania",24,10726.125,1,6178248,75713.8235294118,0.6,0,1.13333333333333,"Semi-Automatic-Diesel",8192.595142,0.265287421589867,310,"SUV/Family",0,7.76259604854007,12.458491463748,6435675,"Kia-Oceania",0.25,0.332429072001808,0.795545882533443,14427.0957878822,483.043831515288,0.265529704058558,0.686471999954235,0,2,4,1,8,40,174.6,1.83147193585338,1283.66695332656,26422.8210513748,0
"Mercedes","GLA",2021,1.5,"Petrol","Manual",34640,2,1,11207,"Asia",3,11546.6666666667,0,103920,23093.3333333333,0.2,1,0.75,"Manual-Petrol",8165.243868,1.2486898644075,292,"Sports",0,9.32429386205203,10.4527643626764,138560,"Mercedes-Asia",0.5,0.33841980332316,0.942759943193626,14981.5786204491,943.644655112284,1.26575559055051,0.577333333294844,3,1,1,3,7,43,280.806,1.1387755247395,9841.27227581893,17060.655054928,0
"Chevrolet","Equinox",2018,1.8,"Hybrid","Automatic",21261,2,1,13374,"South America",6,3543.5,0,127566,11811.6666666667,0.2,0,0.9,"Automatic-Hybrid",9045.843182,1.48807116179348,306,"Sports",0,9.50106780261392,9.96462968747837,148827,"Chevrolet-South America",0.5,0.329151124675031,2.97728523011097,22226.9912730815,1264.71303901164,1.51050372695838,0.202485714272215,2,0,5,3,2,17,252.767,1.26509789648174,10571.5139019623,28119.3199046934,0
"Toyota","RAV4",2003,2,"Electric","Manual",136662,5,4,6266,"Africa",21,6507.71428571429,0,2869902,68331,0.8,0,0.4,"Manual-Electric",9818.188368,0.716699333758046,314,"SUV/Family",0,8.74289347151214,11.8252660030879,3006564,"Toyota-Africa",0.2,0.33841980332316,1.58028843241345,30928.974631804,1121.04430144564,0.707702733147989,0.414127272699664,1,1,0,1,5,48,185.5,1.72385444743935,3634.87764834649,53317.0504737743,0
"Ford","Explorer",2006,2.8,"Hybrid","Manual",99921,4,2,7701,"Europe",18,5551.16666666667,0,1798578,35686.0714285714,0.4,0,0.7,"Manual-Hybrid",9045.843182,0.867847533580614,316,"Sedan",0,8.94910546953925,11.5121351527558,1898499,"Ford-Europe",0.333333333333333,0.33841980332316,1.71974204980989,30575.3263240002,1203.91191178949,0.869776372162889,0.350599999976627,2,1,2,2,6,20,203.1,1.57447070408666,4891.16753967633,48139.955565028,0
"Mercedes","GLA",2016,3.9,"Petrol","Semi-Automatic",19868,3,4,12402,"South America",8,2483.5,0,158944,5094.35897435897,0.8,1,1.3,"Semi-Automatic-Petrol",8165.243868,1.3818373961258,292,"SUV/Family",0,9.42561302890982,9.89686567622724,178812,"Mercedes-South America",0.2,0.332429072001808,3.69709688645168,23831.1604141497,1269.9067126833,1.40072283697756,0.147170370360559,3,2,5,1,11,47,242.637,1.31791523963781,9410.31686029239,31407.4494880613,0
"Kia","Sportage",2011,1.8,"Diesel","Automatic",92188,2,4,8856,"Asia",13,7091.38461538462,0,1198444,51215.5555555556,0.8,0,0.9,"Automatic-Diesel",8192.595142,0.999313230795348,299,"Sports",0,9.08885047438847,11.4315852492304,1290632,"Kia-Asia",0.2,0.329151124675031,1.24396793982777,24461.1194334794,1114.65138810567,1.00022588649196,0.43899047616121,0,0,1,3,0,37,227.223,1.40731792116115,6292.82116488156,34424.5717503988,0
"Audi","A3",2022,3.3,"Electric","Manual",79350,5,3,14413,"Oceania",2,39675,0,158700,24045.4545454545,0.6,1,0.66,"Manual-Electric",9818.188368,1.62456892898259,320,"SUV/Family",0,9.5758858560831,11.2816237259546,238050,"Audi-Oceania",0.25,0.33841980332316,0.37118401451741,17918.6604952776,1168.55349842587,1.62785181820331,1.76333333321578,1,1,4,1,5,4,298.808,1.07016880404808,13467.9687405207,19175.9914723749,0
"Chevrolet","Equinox",2013,1.9,"Hybrid","Automatic",121816,4,4,9963,"Africa",11,11074.1818181818,0,1339976,64113.6842105263,0.8,0,0.475,"Automatic-Hybrid",9045.843182,1.10854291797132,306,"Sedan",0,9.20663351004486,11.7102669885206,1461792,"Chevrolet-Africa",0.2,0.329151124675031,0.89101124687264,23800.9749727684,1153.16458106403,1.12525412230345,0.676755555510439,2,0,0,2,2,12,234.719,1.36237373199443,7312.97129856931,32425.8230987564,0
"Hyundai","Tucson",2007,3.9,"Electric","Automatic",213643,4,5,9327,"South America",17,12567.2352941176,0,3631931,54780.2564102564,1,0,0.975,"Automatic-Electric",9818.188368,1.06890547747097,316,"Sedan",0,9.14066869872686,12.2720616766693,3845574,"Hyundai-South America",0.166666666666667,0.329151124675031,0.827139209420531,34438.8707726625,1395.10393181458,1.05342218194563,0.791270370317619,1,0,5,2,1,35,211.445,1.51233181205514,6167.297365335,52082.9998407536,0
"Volkswagen","Passat",2008,3.5,"Electric","Manual",88381,3,1,10232,"Europe",16,5523.8125,0,1414096,25251.7142857143,0.2,0,1.16666666666667,"Manual-Electric",9818.188368,1.14885802940261,315,"SUV/Family",0,9.23327534325868,11.3894122933978,1502477,"Volkswagen-Europe",0.5,0.33841980332316,1.88815586615082,35135.8452818345,1464.93207540203,1.15563587066234,0.346592156839639,1,1,2,1,5,56,211.398,1.51266804794747,6764.20713314049,53148.8704954571,0
"Chevrolet","Impala",2017,2.3,"Petrol","Automatic",183619,5,1,9327,"Europe",7,26231.2857142857,0,1285333,79834.347826087,0.2,0,0.46,"Automatic-Petrol",8165.243868,1.03777775729384,336,"SUV/Family",0,9.14066869872686,12.120618237653,1468952,"Chevrolet-Europe",0.5,0.329151124675031,0.355731733045794,16667.8041332027,917.600516650338,1.05342218194563,1.53015833323132,3,0,2,1,3,14,247.805,1.2904299751821,7227.8234227191,21508.6340739489,0
"Mercedes","GLA",2013,3.3,"Electric","Semi-Automatic",80184,3,5,11696,"North America",11,7289.45454545455,0,882024,24298.1818181818,1,1,1.1,"Semi-Automatic-Electric",9818.188368,1.3031745029098,292,"SUV/Family",0,9.36700218198956,11.2920792727047,962208,"Mercedes-North America",0.166666666666667,0.332429072001808,1.46912888942092,27941.0020356819,1353.75016964016,1.32098486544827,0.445466666636969,1,2,3,1,9,45,234.719,1.36237373199443,8585.0157892268,38066.0872190159,0
"Toyota","Corolla",2010,3.2,"Diesel","Automatic",132454,4,4,9150,"North America",14,9461,0,1854356,41391.875,0.8,0,0.8,"Automatic-Diesel",8192.595142,1.04656860898278,310,"Sedan",0,9.12150915826957,11.7939906943197,1986810,"Toyota-North America",0.2,0.329151124675031,0.927680643244835,27175.4575983158,1201.69717322105,1.03343121741208,0.588684444405199,0,0,3,2,0,51,220.472,1.45041093653616,6308.55695410836,39415.5809059719,0
"Kia","Optima",2005,4.5,"Petrol","Manual",18590,2,5,9728,"Asia",19,978.421052631579,0,353210,4131.11111111111,1,0,2.25,"Manual-Petrol",8165.243868,1.09770992651052,319,"Sports",0,9.18276360420595,9.83037908071549,371800,"Kia-Asia",0.166666666666667,0.33841980332316,8.77511431273509,41530.2543420383,1590.11271710192,1.09871244622784,0.0619666666625355,3,1,1,3,7,37,198.1,1.61420999495204,6026.4773668986,67038.5516518188,0
"Audi","Q5",2013,3.5,"Hybrid","Semi-Automatic",263411,4,1,7231,"South America",11,23946.4545454545,1,2897521,75260.2857142857,0.2,1,0.875,"Semi-Automatic-Hybrid",9045.843182,0.815045994967951,333,"Sedan",0,8.88613261817495,12.4814708289987,3160932,"Audi-South America",0.5,0.332429072001808,0.412075324417382,17274.4002838591,836.950023654924,0.816693020011668,1.46339444434688,2,2,5,2,10,5,234.719,1.36237373199443,5307.64784301462,23534.1891826867,0
"Kia","Sportage",2000,1.4,"Electric","Manual",167050,5,4,4159,"South America",24,6960.41666666667,0,4009200,119321.428571429,0.8,0,0.28,"Manual-Electric",9818.188368,0.469302588852513,299,"SUV/Family",0,8.33302993974291,12.0260484477849,4176250,"Kia-South America",0.2,0.33841980332316,1.46912888942092,25522.029511613,854.521180464519,0.469731194887087,0.445466666636969,1,1,5,1,5,41,174.6,1.83147193585338,2270.85106715659,46742.8807965409,0
"Ford","Fiesta",2017,2.2,"Hybrid","Manual",277363,2,4,6852,"Oceania",7,39623.2857142857,1,1941541,126074.090909091,0.8,0,1.1,"Manual-Hybrid",9045.843182,0.772171315425837,342,"Sports",0,8.83229585944401,12.5330823965681,2218904,"Ford-Oceania",0.2,0.33841980332316,0.260902349041536,12244.8583596767,674.107294959592,0.773887508383342,2.31135833317924,2,1,4,3,6,22,247.805,1.2904299751821,5309.85805644594,15801.132269186,0
"Audi","A4",2004,1,"Petrol","Manual",94415,2,1,4411,"Oceania",20,4720.75,0,1888300,94415,0.2,1,0.5,"Manual-Petrol",8165.243868,0.49718820132812,328,"Sports",0,8.39185670010494,11.4554552378157,1982715,"Audi-Oceania",0.5,0.33841980332316,1.81572833694777,20248.6063842683,754.171732584206,0.498192907104338,0.299730158710177,3,1,4,3,7,4,191.7,1.66810119979134,2644.32397779689,33776.7246037006,0
"Ford","Focus",2004,1.2,"Electric","Manual",93645,3,3,6627,"Oceania",20,4682.25,0,1872900,78037.5,0.6,0,0.4,"Manual-Electric",9818.188368,0.746815427222274,328,"SUV/Family",0,8.79890749208823,11.447266316164,1966545,"Ford-Oceania",0.25,0.33841980332316,2.20124651130613,30421.1096142703,1133.05283877478,0.748475265332226,0.297285714265895,1,1,4,1,5,22,191.7,1.66810119979134,3972.78054882339,50745.4894465482,0
"Honda","Civic",2000,3.9,"Hybrid","Manual",56020,2,4,7879,"North America",24,2334.16666666667,0,1344480,14364.1025641026,0.8,0,1.95,"Manual-Hybrid",9045.843182,0.907234161583702,317,"Sports",0,8.97195627124569,10.9334640488141,1400500,"Honda-North America",0.2,0.33841980332316,4.03508037380676,48350.1011113245,1618.84404445298,0.889880279998884,0.149386666656707,2,1,3,3,6,27,174.6,1.83147193585338,4302.0042217184,88551.8532810641,0
"Toyota","RAV4",2003,3.9,"Electric","Automatic",131868,5,3,9762,"South America",21,6279.42857142857,0,2769228,33812.3076923077,0.6,0,0.78,"Automatic-Electric",9818.188368,1.11656860774753,314,"SUV/Family",0,9.18625257644709,11.7895567012349,2901096,"Toyota-South America",0.25,0.329151124675031,1.63772950258549,48185.2298684441,1746.51044856564,1.10255251851112,0.39959999997336,1,0,5,1,1,53,185.5,1.72385444743935,5662.89109530138,83064.3228096049,0
"Audi","Q5",2023,3.6,"Electric","Manual",238306,5,2,11833,"South America",1,238306,1,238306,66196.1111111111,0.4,1,0.72,"Manual-Electric",9818.188368,1.33376286246104,333,"SUV/Family",0,9.37864751738456,12.3813108411165,476612,"Audi-South America",0.333333333333333,0.33841980332316,0.0823991504103932,13681.3504451382,924.175222569084,1.33645809788384,7.94353333280376,1,1,5,1,5,5,308.735,1.03575882229096,11424.4742553358,14170.5794244062,0
"Ford","Focus",2011,2.3,"Diesel","Automatic",255372,5,5,6092,"Europe",13,19644,1,3319836,111031.304347826,1,0,0.46,"Automatic-Diesel",8192.595142,0.686524759716024,328,"SUV/Family",0,8.71473171401505,12.4504765846207,3575208,"Ford-Europe",0.166666666666667,0.329151124675031,0.449109708394352,16826.6869454332,766.76335324523,0.688050598521792,1.21605714277607,0,0,2,1,0,20,227.223,1.40731792116115,4328.80155109061,23680.4980920765,0
"Audi","A4",2009,2.4,"Diesel","Manual",263797,2,5,3924,"North America",15,17586.4666666667,1,3956955,109915.416666667,1,1,1.2,"Manual-Diesel",8192.595142,0.442295738383936,328,"Sports",0,8.27486682068525,12.482935146949,4220752,"Audi-North America",0.166666666666667,0.33841980332316,0.496872869312733,12531.464318208,537.966519888001,0.443189518811476,1.09915416659339,0,1,3,3,4,3,217.347,1.47126484377516,2667.0928871863,18437.1028924023,0
"Hyundai","Elantra",2006,2.8,"Electric","Manual",110280,3,3,8494,"Africa",18,6126.66666666667,0,1985040,39385.7142857143,0.6,0,0.933333333333333,"Manual-Electric",9818.188368,0.973440884061162,330,"SUV/Family",0,9.04711531087322,11.6107778651377,2095320,"Hyundai-Africa",0.25,0.33841980332316,1.69127171589951,33723.7789632591,1327.88310332942,0.95934041100527,0.386947368395256,1,1,0,1,5,30,203.1,1.57447070408666,5394.82886404503,53097.1020087453,0
"Audi","A3",2009,1.2,"Electric","Automatic",111448,5,1,9271,"North America",15,7429.86666666667,0,1671720,92873.3333333333,0.2,1,0.24,"Automatic-Electric",9818.188368,1.04498567547336,320,"SUV/Family",0,9.13464652760698,11.6213133933861,1783168,"Audi-North America",0.5,0.329151124675031,1.40934305146056,29607.3409006388,1271.02130628992,1.04709735700846,0.464366666635709,1,0,3,1,1,3,217.347,1.47126484377516,6301.38077398171,43560.2397847762,0
"Mercedes","GLA",2013,1.9,"Petrol","Manual",205005,2,2,5799,"Africa",11,18636.8181818182,0,2255055,107897.368421053,0.4,1,0.95,"Manual-Petrol",8165.243868,0.646127645551806,292,"Sports",0,8.66544076787644,12.230789648067,2460060,"Mercedes-Africa",0.333333333333333,0.33841980332316,0.477925861835848,13853.4431262756,671.2035938563,0.654958210904116,1.13891666659074,3,1,0,3,7,42,234.719,1.36237373199443,4256.54125869752,18873.5670129166,0
"Mercedes","E-Class",2004,4.9,"Petrol","Semi-Automatic",175273,3,5,6694,"Europe",20,8763.65,0,3505460,35770,1,1,1.63333333333333,"Semi-Automatic-Petrol",8165.243868,0.745849018679736,308,"SUV/Family",0,8.80896688177127,12.0741000373696,3680733,"Mercedes-Europe",0.166666666666667,0.332429072001808,0.978185911828129,30728.6717606648,1144.50817907927,0.756042466596336,0.556422222185127,3,2,2,1,11,44,191.7,1.66810119979134,4012.94597764053,51258.5342319592,0
"Mercedes","GLA",2022,3.8,"Diesel","Manual",191466,3,2,10670,"Asia",2,95733,0,382932,50385.7894736842,0.4,1,1.26666666666667,"Manual-Diesel",8192.595142,1.18885704053074,292,"SUV/Family",0,9.2751913442958,12.1624655261478,574398,"Mercedes-Asia",0.333333333333333,0.33841980332316,0.128364306629272,13265.2541098045,865.08470326816,1.20510503713518,4.25479999971635,0,1,1,1,4,43,298.808,1.07016880404808,9970.38968024392,14196.0611260834,0
"Ford","Focus",2008,1.8,"Electric","Semi-Automatic",280713,3,1,4685,"South America",16,17544.5625,1,4491408,155951.666666667,0.2,0,0.6,"Semi-Automatic-Electric",9818.188368,0.52796593881641,328,"SUV/Family",0,8.45212119467252,12.545088074067,4772121,"Ford-South America",0.5,0.332429072001808,0.594554206020019,16087.9041385257,670.759066972099,0.529139371975476,1.10083529404426,1,2,5,1,9,23,211.398,1.51266804794747,3097.17654600891,24335.6585487897,0
"Honda","Civic",2015,2.6,"Electric","Semi-Automatic",66777,5,1,11864,"Europe",9,7419.66666666667,0,600993,25683.4615384615,0.2,0,0.52,"Semi-Automatic-Electric",9818.188368,1.36609037860503,317,"SUV/Family",0,9.38126388381777,11.1091139888587,667770,"Honda-Europe",0.5,0.332429072001808,1.47007477023972,24513.292787798,1264.9292787798,1.33995934025977,0.445179999970321,1,2,2,1,9,26,237.761,1.34494303102696,8821.19147525604,32968.9823024723,0
"Kia","Optima",2020,3.2,"Electric","Manual",88070,3,5,13538,"South America",4,22017.5,0,352280,27521.875,1,0,1.06666666666667,"Manual-Electric",9818.188368,1.52763126902749,319,"SUV/Family",0,9.51325582506855,11.3858872317995,440350,"Kia-South America",0.166666666666667,0.33841980332316,0.557376574964519,19459.8624864491,1184.37249728982,1.52902642856008,1.17426666658838,1,1,5,1,5,41,262.045,1.2203056726898,11093.9417090142,23746.9805819773,0
"Chevrolet","Impala",2017,1.8,"Diesel","Semi-Automatic",22175,2,2,10556,"Oceania",7,3167.85714285714,0,155225,12319.4444444444,0.4,0,0.9,"Semi-Automatic-Diesel",8192.595142,1.17452364168476,336,"Sports",0,9.26444969762322,10.0067208071778,177400,"Chevrolet-Oceania",0.333333333333333,0.332429072001808,2.95454903015823,18864.0871051879,1038.51088814849,1.19222950065595,0.184791666654347,0,2,4,3,8,16,247.805,1.2904299751821,8180.21915409272,24342.7834549806,0
"Volkswagen","Passat",2003,2,"Electric","Manual",287728,3,3,3245,"Asia",21,13701.3333333333,1,6042288,143864,0.6,0,0.666666666666667,"Manual-Electric",9818.188368,0.364351476291191,315,"SUV/Family",0,8.08487062913819,12.569770868405,6330016,"Volkswagen-Asia",0.25,0.33841980332316,0.75065210806603,16017.3192914465,580.559967793025,0.366501016448328,0.871903030244903,1,1,1,1,5,55,185.5,1.72385444743935,1882.40950668439,27611.5270966163,0
"Hyundai","Sonata",2007,3.6,"Electric","Automatic",102907,3,3,11241,"Asia",17,6053.35294117647,0,1749419,28585.2777777778,0.6,0,1.2,"Automatic-Electric",9818.188368,1.28825629594202,303,"SUV/Family",0,9.3273230874618,11.5415809467193,1852326,"Hyundai-Asia",0.25,0.329151124675031,1.71705018823415,41506.0948167148,1681.39415648416,1.26959566283379,0.381137037011628,1,0,1,1,1,31,211.445,1.51233181205514,7432.8926432648,62770.9875854949,0
"Honda","Civic",2005,2.4,"Petrol","Automatic",60316,2,5,8293,"Europe",19,3174.52631578947,0,1146004,25131.6666666667,1,0,1.2,"Automatic-Petrol",8165.243868,0.954904543979393,317,"Sports",0,9.0231670644512,11.0073526874857,1206320,"Honda-Europe",0.166666666666667,0.329151124675031,2.70659104614161,35404.0295290423,1355.55147645212,0.936638807212939,0.20105333331993,3,0,2,3,3,26,198.1,1.61420999495204,5137.49761551091,57149.5383273574,0
"Toyota","Camry",2008,1.3,"Petrol","Automatic",188097,2,2,5538,"Asia",16,11756.0625,0,3009552,144690,0.4,0,0.65,"Automatic-Petrol",8165.243868,0.633431361371219,308,"Sports",0,8.61938870373091,12.1447130661986,3197649,"Toyota-Asia",0.333333333333333,0.329151124675031,0.737899070542331,19017.0358845582,792.884463797542,0.62548000896482,0.737635294068471,3,0,1,3,3,49,211.398,1.51266804794747,3661.08083496208,28766.4625492417,0
"Ford","Fiesta",2004,4,"Diesel","Automatic",85348,3,3,9093,"Africa",20,4267.4,0,1706960,21337,0.6,0,1.33333333333333,"Automatic-Diesel",8192.595142,1.02471596193332,342,"SUV/Family",0,9.11526016572591,11.3544922950248,1792308,"Ford-Africa",0.25,0.329151124675031,2.01530412657991,41741.2327935053,1554.67775207168,1.02699344917247,0.270946031727969,0,0,0,1,0,18,191.7,1.66810119979134,5451.10812289891,69628.6005036159,0
